Formula,Hardness_HV,Co,Fe,Ni,Si,Al,Cr,Mo,Ti,Cu,Mn,Nb,V,Zr,B,Nd,Sn,Hf,Ta,W,Zn,Re,C,Pd,Sc,Y
Al0.16666667Cr0.20833333Fe0.20833333Mn0.20833333Ni0.20833333,386.0,0.0,0.20833333,0.20833333,0.0,0.16666667,0.20833333,0.0,0.0,0.0,0.20833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.29411765Cr0.05882353Fe0.29411765Ni0.29411765Si0.05882353,130.1,0.29411765,0.29411765,0.29411765,0.05882353,0.0,0.05882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.2Cr0.2Fe0.2Ni0.2Pd0.2,295.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
Co0.19230769Cr0.19230769Fe0.19230769Mn0.03846154Ni0.19230769Pd0.19230769,470.0,0.19230769,0.19230769,0.19230769,0.0,0.0,0.19230769,0.0,0.0,0.0,0.03846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19230769,0.0,0.0
Co0.18518519Cr0.18518519Fe0.18518519Mn0.07407407Ni0.18518519Pd0.18518519,380.0,0.18518519,0.18518519,0.18518519,0.0,0.0,0.18518519,0.0,0.0,0.0,0.07407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18518519,0.0,0.0
Co0.17857143Cr0.17857143Fe0.17857143Mn0.10714286Ni0.17857143Pd0.17857143,180.0,0.17857143,0.17857143,0.17857143,0.0,0.0,0.17857143,0.0,0.0,0.0,0.10714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17857143,0.0,0.0
Co0.17241379Cr0.17241379Fe0.17241379Mn0.13793103Ni0.17241379Pd0.17241379,160.0,0.17241379,0.17241379,0.17241379,0.0,0.0,0.17241379,0.0,0.0,0.0,0.13793103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17241379,0.0,0.0
Cr0.3125Fe0.3125Ni0.3125Ti0.0625,362.2,0.0,0.3125,0.3125,0.0,0.0,0.3125,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cr0.3030303Fe0.3030303Ni0.3030303Ti0.09090909,510.3,0.0,0.3030303,0.3030303,0.0,0.0,0.3030303,0.0,0.09090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cr0.29411765Fe0.29411765Ni0.29411765Ti0.11764706,600.3,0.0,0.29411765,0.29411765,0.0,0.0,0.29411765,0.0,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
