Formula,Hardness_HV,Co,Fe,Ni,Si,Al,Cr,Mo,Ti,Cu,Mn,Nb,V,Zr,B,Nd,Sn,Hf,Ta,W,Zn,Re,C,Pd,Sc,Y
Al0.125Co0.125Cr0.125Fe0.125Ni0.5,225.0,0.125,0.125,0.5,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cr0.25Cu0.25Fe0.25Ni0.25,143.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.0499002Cr0.23752495Cu0.23752495Fe0.23752495Ni0.23752495,146.0,0.0499002,0.23752495,0.23752495,0.0,0.0,0.23752495,0.0,0.0,0.23752495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.1Cr0.225Cu0.225Fe0.225Ni0.225,150.0,0.1,0.225,0.225,0.0,0.0,0.225,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.1497006Cr0.21257485Cu0.21257485Fe0.21257485Ni0.21257485,158.0,0.1497006,0.21257485,0.21257485,0.0,0.0,0.21257485,0.0,0.0,0.21257485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.33266733Cr0.16683317Cu0.16683317Fe0.16683317Ni0.16683317,175.0,0.33266733,0.16683317,0.16683317,0.0,0.0,0.16683317,0.0,0.0,0.16683317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.25Cu0.25Fe0.25Ni0.25,154.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.23752495Cr0.0499002Cu0.23752495Fe0.23752495Ni0.23752495,153.0,0.23752495,0.23752495,0.23752495,0.0,0.0,0.0499002,0.0,0.0,0.23752495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.225Cr0.1Cu0.225Fe0.225Ni0.225,158.0,0.225,0.225,0.225,0.0,0.0,0.1,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.21257485Cr0.1497006Cu0.21257485Fe0.21257485Ni0.21257485,161.0,0.21257485,0.21257485,0.21257485,0.0,0.0,0.1497006,0.0,0.0,0.21257485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.16683317Cr0.33266733Cu0.16683317Fe0.16683317Ni0.16683317,172.0,0.16683317,0.16683317,0.16683317,0.0,0.0,0.33266733,0.0,0.0,0.16683317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.25Cr0.25Cu0.25Ni0.25,183.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.23752495Cr0.23752495Cu0.23752495Fe0.0499002Ni0.23752495,182.0,0.23752495,0.0499002,0.23752495,0.0,0.0,0.23752495,0.0,0.0,0.23752495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.225Cr0.225Cu0.225Fe0.1Ni0.225,172.0,0.225,0.1,0.225,0.0,0.0,0.225,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.21257485Cr0.21257485Cu0.21257485Fe0.1497006Ni0.21257485,171.0,0.21257485,0.1497006,0.21257485,0.0,0.0,0.21257485,0.0,0.0,0.21257485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.16683317Cr0.16683317Cu0.16683317Fe0.33266733Ni0.16683317,157.0,0.16683317,0.33266733,0.16683317,0.0,0.0,0.16683317,0.0,0.0,0.16683317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.225Cr0.225Cu0.225Fe0.225Ni0.1,170.0,0.225,0.225,0.1,0.0,0.0,0.225,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.21257485Cr0.21257485Cu0.21257485Fe0.21257485Ni0.1497006,167.0,0.21257485,0.21257485,0.1497006,0.0,0.0,0.21257485,0.0,0.0,0.21257485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.16683317Cr0.16683317Cu0.16683317Fe0.16683317Ni0.33266733,158.0,0.16683317,0.16683317,0.33266733,0.0,0.0,0.16683317,0.0,0.0,0.16683317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.26673327Cr0.26673327Fe0.26673327Ni0.1998002,140.0,0.26673327,0.26673327,0.1998002,0.0,0.0,0.26673327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.2Cr0.2Fe0.2Ni0.4,125.0,0.2,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.14285714Co0.14285714Cr0.14285714Fe0.14285714Ni0.42857143,242.0,0.14285714,0.14285714,0.42857143,0.0,0.14285714,0.14285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.15384615Co0.15384615Cr0.15384615Fe0.15384615Ni0.38461538,265.0,0.15384615,0.15384615,0.38461538,0.0,0.15384615,0.15384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.16683317Co0.16683317Cr0.16683317Fe0.16683317Ni0.33266733,335.0,0.16683317,0.16683317,0.33266733,0.0,0.16683317,0.16683317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.28328328Cr0.28328328Fe0.28328328Ni0.15015015,170.0,0.28328328,0.28328328,0.15015015,0.0,0.0,0.28328328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.04995005Co0.31668332Cr0.31668332Fe0.31668332,475.0,0.31668332,0.31668332,0.0,0.0,0.04995005,0.31668332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.1Co0.3Cr0.3Fe0.3,620.0,0.3,0.3,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.18181818Co0.18181818Cr0.18181818Fe0.18181818Ni0.27272727,503.0,0.18181818,0.18181818,0.27272727,0.0,0.18181818,0.18181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.21257485Co0.21257485Cr0.21257485Fe0.21257485Ni0.1497006,555.0,0.21257485,0.21257485,0.1497006,0.0,0.21257485,0.21257485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.225Co0.225Cr0.225Fe0.225Ni0.1,548.0,0.225,0.225,0.1,0.0,0.225,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.23752495Co0.23752495Cr0.23752495Fe0.23752495Ni0.0499002,615.0,0.23752495,0.23752495,0.0499002,0.0,0.23752495,0.23752495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.25Co0.25Cr0.25Fe0.25,720.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.23752495Co0.0499002Cr0.23752495Fe0.23752495Ni0.23752495,550.0,0.0499002,0.23752495,0.23752495,0.0,0.23752495,0.23752495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.225Co0.1Cr0.225Fe0.225Ni0.225,539.0,0.1,0.225,0.225,0.0,0.225,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.16683317Co0.33266733Cr0.16683317Fe0.16683317Ni0.16683317,532.0,0.33266733,0.16683317,0.16683317,0.0,0.16683317,0.16683317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.23752495Co0.23752495Cr0.0499002Fe0.23752495Ni0.23752495,438.0,0.23752495,0.23752495,0.23752495,0.0,0.23752495,0.0499002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.225Co0.225Cr0.1Fe0.225Ni0.225,476.0,0.225,0.225,0.225,0.0,0.225,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.21257485Co0.21257485Cr0.1497006Fe0.21257485Ni0.21257485,510.0,0.21257485,0.21257485,0.21257485,0.0,0.21257485,0.1497006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.16683317Co0.16683317Cr0.33266733Fe0.16683317Ni0.16683317,617.0,0.16683317,0.16683317,0.16683317,0.0,0.16683317,0.33266733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.25Co0.25Cr0.25Ni0.25,712.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.23752495Co0.23752495Cr0.23752495Fe0.0499002Ni0.23752495,665.0,0.23752495,0.0499002,0.23752495,0.0,0.23752495,0.23752495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.225Co0.225Cr0.225Fe0.1Ni0.225,587.0,0.225,0.1,0.225,0.0,0.225,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.21257485Co0.21257485Cr0.21257485Fe0.1497006Ni0.21257485,558.0,0.21257485,0.1497006,0.21257485,0.0,0.21257485,0.21257485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.16683317Co0.16683317Cr0.16683317Fe0.33266733Ni0.16683317,510.0,0.16683317,0.33266733,0.16683317,0.0,0.16683317,0.16683317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.15015015Co0.28328328Cr0.28328328Fe0.28328328,655.0,0.28328328,0.28328328,0.0,0.0,0.15015015,0.28328328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.1998002Co0.26673327Cr0.26673327Fe0.26673327,695.0,0.26673327,0.26673327,0.0,0.0,0.1998002,0.26673327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.4Co0.2Cr0.2Fe0.2,775.0,0.2,0.2,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.05688623Co0.18862275Cr0.18862275Cu0.18862275Fe0.18862275Ni0.18862275,185.0,0.18862275,0.18862275,0.18862275,0.0,0.05688623,0.18862275,0.0,0.0,0.18862275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.13827655Co0.17234469Cr0.17234469Cu0.17234469Fe0.17234469Ni0.17234469,273.0,0.17234469,0.17234469,0.17234469,0.0,0.13827655,0.17234469,0.0,0.0,0.17234469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.20579421Co0.15884116Cr0.15884116Cu0.15884116Fe0.15884116Ni0.15884116,475.0,0.15884116,0.15884116,0.15884116,0.0,0.20579421,0.15884116,0.0,0.0,0.15884116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.23076923Co0.15384615Cr0.15384615Cu0.15384615Fe0.15384615Ni0.15384615,510.0,0.15384615,0.15384615,0.15384615,0.0,0.23076923,0.15384615,0.0,0.0,0.15384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.375Co0.125Cr0.125Cu0.125Fe0.125Ni0.125,735.0,0.125,0.125,0.125,0.0,0.375,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.024Co0.244Cr0.244Fe0.244Ni0.244,118.0,0.244,0.244,0.244,0.0,0.024,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.31062124Co0.17234469Cr0.17234469Fe0.17234469Ni0.17234469,482.0,0.17234469,0.17234469,0.17234469,0.0,0.31062124,0.17234469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.14285714Co0.42857143Cu0.14285714Fe0.14285714Ni0.14285714,166.0,0.42857143,0.14285714,0.14285714,0.0,0.14285714,0.0,0.0,0.0,0.14285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.2Co0.2Cu0.2Fe0.2Ni0.2,536.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.238Co0.048Cu0.238Fe0.238Ni0.238,531.0,0.048,0.238,0.238,0.0,0.238,0.0,0.0,0.0,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.22222222Co0.11111111Cu0.22222222Fe0.22222222Ni0.22222222,545.0,0.11111111,0.22222222,0.22222222,0.0,0.22222222,0.0,0.0,0.0,0.22222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.18181818Co0.27272727Cu0.18181818Fe0.18181818Ni0.18181818,366.0,0.27272727,0.18181818,0.18181818,0.0,0.18181818,0.0,0.0,0.0,0.18181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.16683317Co0.33266733Cu0.16683317Fe0.16683317Ni0.16683317,249.0,0.33266733,0.16683317,0.16683317,0.0,0.16683317,0.0,0.0,0.0,0.16683317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.05905906Co0.23523524Cr0.23523524Fe0.23523524Ni0.23523524,110.0,0.23523524,0.23523524,0.23523524,0.0,0.05905906,0.23523524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.08582834Co0.22854291Cr0.22854291Fe0.22854291Ni0.22854291,131.0,0.22854291,0.22854291,0.22854291,0.0,0.08582834,0.22854291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.15768463Co0.21057884Cr0.21057884Fe0.21057884Ni0.21057884,388.0,0.21057884,0.21057884,0.21057884,0.0,0.15768463,0.21057884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.17917918Co0.20520521Cr0.20520521Fe0.20520521Ni0.20520521,538.0,0.20520521,0.20520521,0.20520521,0.0,0.17917918,0.20520521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.23847695Co0.19038076Cr0.19038076Fe0.19038076Ni0.19038076,487.0,0.19038076,0.19038076,0.19038076,0.0,0.23847695,0.19038076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.03803804Cr0.19219219Cu0.19219219Fe0.19219219Ni0.38538539,162.0,0.0,0.19219219,0.38538539,0.0,0.03803804,0.19219219,0.0,0.0,0.19219219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.05694306Cr0.18881119Cu0.18881119Fe0.18881119Ni0.37662338,170.0,0.0,0.18881119,0.37662338,0.0,0.05694306,0.18881119,0.0,0.0,0.18881119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.07407407Cr0.18518519Cu0.18518519Fe0.18518519Ni0.37037037,200.0,0.0,0.18518519,0.37037037,0.0,0.07407407,0.18518519,0.0,0.0,0.18518519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.09090909Cr0.18181818Cu0.18181818Fe0.18181818Ni0.36363636,238.0,0.0,0.18181818,0.36363636,0.0,0.09090909,0.18181818,0.0,0.0,0.18181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.10689311Cr0.17882118Cu0.17882118Fe0.17882118Ni0.35664336,278.0,0.0,0.17882118,0.35664336,0.0,0.10689311,0.17882118,0.0,0.0,0.17882118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.12312312Cr0.17517518Cu0.17517518Fe0.17517518Ni0.35135135,290.0,0.0,0.17517518,0.35135135,0.0,0.12312312,0.17517518,0.0,0.0,0.17517518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.13813814Cr0.17217217Cu0.17217217Fe0.17217217Ni0.34534535,315.0,0.0,0.17217217,0.34534535,0.0,0.13813814,0.17217217,0.0,0.0,0.17217217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.16683317Cr0.16683317Cu0.16683317Fe0.16683317Ni0.33266733,392.0,0.0,0.16683317,0.33266733,0.0,0.16683317,0.16683317,0.0,0.0,0.16683317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.194Cr0.161Cu0.161Fe0.161Ni0.323,521.0,0.0,0.161,0.323,0.0,0.194,0.161,0.0,0.0,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.33333333Cr0.13313313Cu0.13313313Fe0.13313313Ni0.26726727,593.0,0.0,0.13313313,0.26726727,0.0,0.33333333,0.13313313,0.0,0.0,0.13313313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.2Cr0.2Cu0.2Fe0.2Ni0.2,479.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.21743487Cr0.21743487Cu0.21743487Fe0.21743487Ni0.13026052,494.0,0.0,0.21743487,0.13026052,0.0,0.21743487,0.21743487,0.0,0.0,0.21743487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.20820821Cr0.20820821Cu0.20820821Fe0.20820821Ni0.16716717,486.0,0.0,0.20820821,0.16716717,0.0,0.20820821,0.20820821,0.0,0.0,0.20820821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.19219219Cr0.19219219Cu0.19219219Fe0.19219219Ni0.23123123,408.0,0.0,0.19219219,0.23123123,0.0,0.19219219,0.19219219,0.0,0.0,0.19219219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.18518519Cr0.18518519Cu0.18518519Fe0.18518519Ni0.25925926,370.0,0.0,0.18518519,0.25925926,0.0,0.18518519,0.18518519,0.0,0.0,0.18518519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.16683317Co0.16683317Cr0.16683317Cu0.08291708Fe0.16683317Ni0.24975025,358.0,0.16683317,0.16683317,0.24975025,0.0,0.16683317,0.16683317,0.0,0.0,0.08291708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.2Co0.2Cr0.2Cu0.1Fe0.1Ni0.2,586.0,0.2,0.1,0.2,0.0,0.2,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.16683317Co0.16683317Cr0.24975025Cu0.08291708Fe0.16683317Ni0.16683317,601.0,0.16683317,0.16683317,0.16683317,0.0,0.16683317,0.24975025,0.0,0.0,0.08291708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.15384615Co0.30769231Cr0.15384615Cu0.07692308Fe0.15384615Ni0.15384615,295.0,0.30769231,0.15384615,0.15384615,0.0,0.15384615,0.15384615,0.0,0.0,0.07692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.22222222Co0.22222222Cu0.11111111Fe0.22222222Ni0.22222222,584.0,0.22222222,0.22222222,0.22222222,0.0,0.22222222,0.0,0.0,0.0,0.11111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.15384615Co0.15384615Cr0.15384615Cu0.07692308Fe0.15384615Ni0.30769231,310.0,0.15384615,0.15384615,0.30769231,0.0,0.15384615,0.15384615,0.0,0.0,0.07692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.16683317Co0.24975025Cr0.16683317Cu0.08291708Fe0.16683317Ni0.16683317,451.0,0.24975025,0.16683317,0.16683317,0.0,0.16683317,0.16683317,0.0,0.0,0.08291708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.2Co0.2Cr0.1Cu0.1Fe0.2Ni0.2,546.0,0.2,0.2,0.2,0.0,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.15384615Co0.15384615Cr0.30769231Cu0.07692308Fe0.15384615Ni0.15384615,607.0,0.15384615,0.15384615,0.15384615,0.0,0.15384615,0.30769231,0.0,0.0,0.07692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.16683317Co0.16683317Cr0.16683317Cu0.08291708Fe0.24975025Ni0.16683317,537.0,0.16683317,0.24975025,0.16683317,0.0,0.16683317,0.16683317,0.0,0.0,0.08291708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.15384615Co0.15384615Cr0.15384615Cu0.07692308Fe0.30769231Ni0.15384615,514.0,0.15384615,0.30769231,0.15384615,0.0,0.15384615,0.15384615,0.0,0.0,0.07692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.2Co0.2Cr0.2Cu0.1Fe0.2Ni0.1,604.0,0.2,0.2,0.1,0.0,0.2,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.22222222Co0.22222222Cr0.22222222Cu0.11111111Fe0.22222222,639.0,0.22222222,0.22222222,0.0,0.0,0.22222222,0.22222222,0.0,0.0,0.11111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
